"","Size","Crust","Topping","Price","DeliveryTime"
"17","Medium","Large","Salami","$7","20 minutes"
"21","Large","Thin","Vegtarian","$7","20 minutes"
"34","Small","Large","Margherita","$10","20 minutes"
"60","Large","Medium","Margherita","$13","20 minutes"
"64","Small","Thin","Salami","$13","20 minutes"
"82","Small","Thin","Margherita","$7","40 minutes"
"131","Medium","Medium","Vegtarian","$10","40 minutes"
"153","Large","Large","Salami","$13","40 minutes"
"171","Large","Large","Margherita","$7","60 minutes"
"175","Small","Medium","Salami","$7","60 minutes"
"201","Large","Thin","Salami","$10","60 minutes"
"218","Medium","Thin","Margherita","$13","60 minutes"
"241","Small","Large","Vegtarian","$13","60 minutes"
